step	slope_50
734	-0.0007219207683073364
735	-0.0007881392557022824
736	-0.0006528691476590968
737	-0.0005673949579831804
738	0.00014002400960386736
739	0.0003583193277310948
740	0.0008512364945978383
741	-6.40096038415375e-05
742	1.6662665066004026e-05
743	-0.0007539015606242361
744	-0.0012775510204081505
745	-0.0019450660264105203
746	-0.002175606242496986
747	-0.0018269387755102213
748	-0.0025904441776710267
749	-0.0032340936374549894
750	-0.003442352941176465
751	-0.0047793517406962745
752	-0.00467121248499404
753	-0.005404369747899159
754	-0.005851716686674627
755	-0.005929507803121161
756	-0.006044225690276095
757	-0.00601205282112847
758	-0.0056672749099639375
759	-0.005053877551020401
760	-0.004701176470588229
761	-0.004750924369747892
762	-0.0037432412965186087
763	-0.0033456902761104467
764	-0.0028817767106842857
765	-0.0027162545018007134
766	-0.0017548139255701852
767	-0.002642496998799575
768	-0.0017314285714285433
769	-0.0012551260504201761
770	-0.00012235294117648982
771	0.00034645858343336055
772	-0.00022737094837935287
773	0.00035937575030013544
774	0.0005425690276110497
775	0.0008427851140456221
776	0.0006559903961584468
777	0.0009287394957983354
778	0.0014448019207682907
779	0.002911740696278444
780	0.003273709483793525
781	0.0029566866746698517
782	0.003086002400960404
783	0.002619543817526985
784	0.002664537815126061
785	0.0024580072028811306
786	0.0020924369747899207
787	0.0014699159663865498
788	0.001748859543817534
789	0.0010855222088835624
790	0.0020051380552220856
791	0.0025468907563025284
792	0.0032527250900360152
793	0.0030669387755101964
794	0.002458487394957993
795	0.0016093157262905026
796	0.001953997599039613
797	0.0027996158463385115
798	0.002344873949579824
799	0.001953613445378162
800	0.0020330372148859807
801	0.0021468907563025282
802	0.0014358703481392467
803	-0.0001949099639856022
804	-0.0012323649459783836
805	-0.0015723889555822402
806	-0.0021054501800720038
807	-0.001888115246098447
808	1.575030012004784e-05
809	0.0011476110444177893
810	0.0018122448979591766
811	0.002087923169267699
812	0.0015099639855942592
813	0.0009095798319327475
814	0.0007846338535413813
815	0.0014294357743097257
816	0.0009493397358943364
817	0.0008435054021608527
818	0.00028768307322927166
819	-0.0006721248499400015
820	-0.001283313325330123
821	-0.0017006002400960253
822	-0.001939687875150084
823	-0.0027036254501800827
824	-0.0025836734693877586
825	-0.0018309723889555123
826	-0.0021063625450180017
827	-0.003046434573829534
828	-0.0028308763505402517
829	-0.0015672989195678285
830	-0.00236614645858345
831	-0.0012765426170467426
832	0.0003142376950780443
833	0.00012432172869147903
834	-0.00020777911164466875
835	-0.0007393037214885822
836	-0.0012685714285714349
837	-0.001068427370948384
838	-0.0014849459783913299
839	-0.0015145738295318156
840	-0.0009558703481392669
841	-0.0005408403361344621
842	0.0002901320528211303
843	0.0009632172869147442
844	0.001048307322929177
845	0.00038141656662663725
846	0.0009838175270107897
847	0.001079183673469391
848	0.001383481392557006
849	0.0005950540216085464
850	0.0017763745498198867
851	0.0029596638655462323
852	0.0025939975990396115
853	0.00171639855942376
854	0.0011204321728690869
855	0.0006025450180071808
856	-0.0010414405762305097
857	-0.0005080912364946419
858	0.0009082833133252892
859	0.001259495798319296
860	0.0017445378151260548
861	0.0035789675870348337
862	0.0035391116446578702
863	0.004150588235294144
864	0.00330482593037215
865	0.00396067226890759
866	0.002655078031212484
867	0.0023772388955582255
868	0.0019896758703481566
869	0.0014630972388955297
870	-0.00042204081632656054
871	-0.000462472989195698
872	-0.00036374549819930604
873	-0.0010714525810324165
874	-0.001438367346938785
875	-0.0008516206482593212
876	-0.0019769507803120657
877	-0.0020265066026410525
878	-0.0027321488595438157
879	-0.0016300120048018778
880	-0.003150396158463401
881	-0.0025350780312125083
882	-0.002066554621848762
883	-0.0021773349339735187
884	-0.001414645858343292
885	-0.001822761104441786
886	-0.0015728211284513566
887	-0.0006738055222089025
888	-0.0013992797118847302
889	-0.0005985114045618345
890	0.000834093637454996
891	0.0004896518607442708
892	0.001580984393757514
893	0.0020058103241296656
894	0.002170132052821131
895	0.0014313565426170329
896	0.0022279471788715496
897	0.001885474189675864
898	0.0018356782713085354
899	0.0012553661464585566
900	0.0013991836734693747
901	0.0012126770708283466
902	0.0016863865546218498
903	0.0021501080432172895
904	0.0015305162064825864
905	0.0016470588235294598
906	0.0008694837935174142
907	-0.00011865546218487279
908	-0.00046391356542617787
909	-0.0011868427370948455
910	-0.00024585834333736993
911	0.00039611044417765367
912	0.0010476350540216104
913	0.0012992557022809199
914	0.0003479471788714563
915	0.0004186794717887481
916	-0.001040576230492207
917	-0.002048307322929193
918	-0.0028732292917166818
919	-0.003681296518607495
920	-0.0048427370948379315
921	-0.005340216086434553
922	-0.0051704201680672504
923	-0.005035390156062346
924	-0.006224537815126056
925	-0.0057838175270106635
926	-0.006923937575029983
927	-0.005976326530612137
928	-0.0068091716686674835
929	-0.005377863145258106
930	-0.005800720288115197
931	-0.006855846338535331
932	-0.008119519807923073
933	-0.008569795918367321
934	-0.006991404561824695
935	-0.0068601200480192265
936	-0.006797983193277338
937	-0.006998511404561886
938	-0.008040768307322902
939	-0.00854857142857146
940	-0.00752451380552219
941	-0.0072948859543817916
942	-0.006189531812725087
943	-0.006352076830732281
944	-0.006676734693877507
945	-0.006205906362545016
946	-0.00641906362545019
947	-0.005997983193277239
948	-0.005045426170468168
949	-0.004541800720288144
950	-0.004482208883553425
951	-0.0038085474189675688
952	-0.0037057863145258064
953	-0.00335822328931573
954	-0.0023408883553421205
955	-0.0020511404561824142
956	-0.0013348859543817332
957	-0.0018691956782713216
958	-0.00182741896758706
959	-0.0020786074429771954
960	-0.0008738535414165692
961	-0.0007732052821128458
962	-0.0005351740696278471
963	0.0007922208883553838
964	0.0018208883553421323
965	0.0024097959183673493
966	0.0023242737094837807
967	0.0026856182472989316
968	0.002376230492196867
969	0.0035875150060023964
970	0.003106506602641075
971	0.002878751500600258
972	0.0032243457382952773
973	0.004283697478991597
974	0.003678127250900354
975	0.0035457863145257527
976	0.003155966386554552
977	0.0033236974789915925
978	0.0036070108043217077
979	0.003955774309723881
980	0.004241680672268881
981	0.004011716686674677
982	0.003378775510204092
983	0.003570228091236497
984	0.005405042016806706
985	0.005632893157262901
986	0.004996062424969987
987	0.004472220888355319
988	0.004209315726290522
989	0.0026619927971188472
990	0.0015528451380552241
991	0.0013069867947178907
992	0.001954189675870376
993	0.0018689555822328716
994	0.0011018487394957959
995	0.0011383913565427076
996	-9.637454981992422e-05
997	-0.0008507563025210534
998	0.0004481632653061269
999	0.0011905882352941152
1000	0.0013644657863144329
1001	0.001805618247298952
1002	0.0006135414165666338
1003	-0.00033978391356535067
1004	0.0014405282112845623
1005	0.0007233613445378249
1006	0.0012512364945978392
1007	0.0009016566626650766
1008	0.0006956062424969533
1009	-0.0004911884753901403
1010	-0.0016749099639855804
1011	-0.0020634813925570748
1012	-0.0017652821128451405
1013	-0.0013547659063624718
1014	-0.0018048979591836559
1015	-0.0015049699879952135
1016	-0.0019686914765906414
1017	-0.0016059543817527077
1018	-0.0020374549819927555
1019	-0.0002230492196878896
1020	-0.0011776230492196848
1021	-0.0010422088835534125
1022	-0.0006463865546218322
1023	-0.0003028091236494711
1024	-0.0009618727490996021
1025	-0.0004258343337335036
1026	-0.0013335414165666273
1027	-0.002034477791116431
1028	-0.0016735174069627615
1029	-0.00198252100840335
1030	-0.0018896518607442747
1031	-0.0019038655462185067
1032	-0.001634477791116449
1033	-0.0007150060024008559
1034	0.0002991596638655136
1035	-3.860744297718891e-05
1036	-0.0009030972388955473
1037	-0.00024744297719084203
1038	-0.00017454981992797645
1039	-0.0008547899159664188
1040	-0.0013812725090035964
1041	-0.0014904681872749859
1042	-0.0015409843937575058
1043	-0.0012489795918367366
1044	-0.0010909963985594052
1045	-0.0016744297719087948
1046	-0.0017831932773109385
1047	-0.0022439855942377007
1048	-0.0019321968787514591
1049	-0.0013594717887155335
1050	-0.0006911404561824755
1051	-0.0004660264105642321
1052	0.00024581032412965883
1053	-0.00015875150060035842
1054	0.000825642256902782
1055	0.0008030252100840871
1056	0.0009082833133253259
1057	0.00045118847539016743
1058	0.0021450180072028935
1059	0.0022622328931572507
1060	0.0017793997599039862
1061	0.0017565426170469973
1062	0.002758799519807907
1063	0.003058919567827121
1064	0.001847010804321711
