English,Algonquin,region; subregion
"Moose, buck",Ayabe,Algonquian; Central Algonquian
Muskellunge,Maskinoje,Algonquian; Central Algonquian
"Moose, calf",Manishins,Algonquian; Central Algonquian
Muskrat,Wajashk,Algonquian; Central Algonquian
kind of fish) Mosquito,Sagime,Algonquian; Central Algonquian
"Moss, spagnum",Asekamig,Algonquian; Central Algonquian
Mother-in-law,Zigosis,Algonquian; Central Algonquian
Moon Tibik-klzis,pikwadjfsh,Algonquian; Central Algonquian
Moose Monz,asekamiga,Algonquian; Central Algonquian
Nail,Chitaskwan,Algonquian; Central Algonquian
Name,lnozowin,Algonquian; Central Algonquian
Narrow,Agasadeya; wibwa; tada,Algonquian; Central Algonquian
Navel,Odis,Algonquian; Central Algonquian
Near,Peshodj; chigahi,Algonquian; Central Algonquian
Neck,Okwegan,Algonquian; Central Algonquian
Neighbor,W1djigendagan,Algonquian; Central Algonquian
Nest,Wozoson,Algonquian; Central Algonquian
Net,Asab,Algonquian; Central Algonquian
Net lacer,Asabikan,Algonquian; Central Algonquian
"Net, floats",Agwindjiwinaganan,Algonquian; Central Algonquian
"Net, sinker",Asinab,Algonquian; Central Algonquian
Never,Ka wikad,Algonquian; Central Algonquian
New,Oshki,Algonquian; Central Algonquian
New Years,Animikodadinaniwang,Algonquian; Central Algonquian
"Oak, red",Mitigomij,Algonquian; Central Algonquian
"Oak, white",Mishimij,Algonquian; Central Algonquian
Night,Onagosh,Algonquian; Central Algonquian
Obedient,Pabamitam,Algonquian; Central Algonquian
North,Ki\vedinong,Algonquian; Central Algonquian
Oblong,Shagawa,Algonquian; Central Algonquian
October,Namegos kizis,Algonquian; Central Algonquian
Nose,Okiwan,Algonquian; Central Algonquian
Often,Sazagona; monjag;,Algonquian; Central Algonquian
Nostril,Odenigom,Algonquian; Central Algonquian
Old,Kete,Algonquian; Central Algonquian
November,Adikameg kizis,Algonquian; Central Algonquian
Old woman,MindimOnye,Algonquian; Central Algonquian
Now,Nongom,Algonquian; Central Algonquian
Once,Ningodin,Algonquian; Central Algonquian
Number,Agindasowin,Algonquian; Central Algonquian
Only,Eta,Algonquian; Central Algonquian
Open,Shesin,Algonquian; Central Algonquian
. Orange,Pokidehimin,Algonquian; Central Algonquian
Otter,Nigig,Algonquian; Central Algonquian
Outlet,Kodjidjing,Algonquian; Central Algonquian
Outside,Agwadj; agwadjing,Algonquian; Central Algonquian
Over; atop,Wagidj; wagidjehi,Algonquian; Central Algonquian
Night Onagosh Obedient,Pabamitam,Algonquian; Central Algonquian
North Ki\vedinong Oblong,Shagawa,Algonquian; Central Algonquian
Nose-bleed Kibitan,nanengim,Algonquian; Central Algonquian
Nostril Odenigom Old,Kete,Algonquian; Central Algonquian
Now Nongom Once,Ningodin,Algonquian; Central Algonquian
Number Agindasowin Only,Eta,Algonquian; Central Algonquian
Oyster; clam,�s; esag (plural),Algonquian; Central Algonquian
Package,Kashkapidjigan,Algonquian; Central Algonquian
Paddle,Abwi,Algonquian; Central Algonquian
Paddle (to),Chime,Algonquian; Central Algonquian
Pancake,Pazigwawons,Algonquian; Central Algonquian
Paper,Mazinahigan,Algonquian; Central Algonquian
Parallel,Pitawi; pito,Algonquian; Central Algonquian
Parents,Nigigog; kitizig,Algonquian; Central Algonquian
Partridge,Pine,Algonquian; Central Algonquian
Peaceful,Wanaki,Algonquian; Central Algonquian
Peanuts,Paganensag,Algonquian; Central Algonquian
Peas,Anidjiminan,Algonquian; Central Algonquian
Pen,Migwan (refers to a,Algonquian; Central Algonquian
Pencil,Miskwawak,Algonquian; Central Algonquian
Pepper,Tibweban,Algonquian; Central Algonquian
Perch,Azawens,Algonquian; Central Algonquian
Perfume,Minomagochigan,Algonquian; Central Algonquian
Persistently,Ayandj,Algonquian; Central Algonquian
Picture,Mazi nazowi n,Algonquian; Central Algonquian
Pig,Kokosh,Algonquian; Central Algonquian
Portage (to),Kabado,Algonquian; Central Algonquian
Pillow,Apikweshimon,Algonquian; Central Algonquian
Post,Sakahagan,Algonquian; Central Algonquian
Pineapple,Shingwakomin;,Algonquian; Central Algonquian
Pot,Chibakwe-akik,Algonquian; Central Algonquian
Potato,Opln; padak,Algonquian; Central Algonquian
Pines cones,Shingwakokonag,Algonquian; Central Algonquian
Pouch,Kashkibidagan,Algonquian; Central Algonquian
"Pine, red",Pakwanagemag,Algonquian; Central Algonquian
Powder,Wabosanaman,Algonquian; Central Algonquian
"Pine, white",Shingwak,Algonquian; Central Algonquian
Prediction,Kikinonowin;,Algonquian; Central Algonquian
Pitchfork,Padakashkahigan,Algonquian; Central Algonquian
Press; iron,Shoshkwegahige,Algonquian; Central Algonquian
Plant,Netawiging,Algonquian; Central Algonquian
Priest,Makadekonaye,Algonquian; Central Algonquian
Plate; dish,Onagan,Algonquian; Central Algonquian
Play,Odamin,Algonquian; Central Algonquian
Prominent,Maya,Algonquian; Central Algonquian
Point,Neyashi; nedawanga,Algonquian; Central Algonquian
Pugnacious,Akotewiz; nandawidlyaz,Algonquian; Central Algonquian
Pumpkin,Pakwasiman;,Algonquian; Central Algonquian
Pole,Saka hag an,Algonquian; Central Algonquian
Policeman,Takoniwewininf,Algonquian; Central Algonquian
Pond,Pftoshkob; pitobig,Algonquian; Central Algonquian
Poplar; aspen,Azad,Algonquian; Central Algonquian
Porch; stoop,Tesagode,Algonquian; Central Algonquian
Porcupine,Kag,Algonquian; Central Algonquian
Pork,K6k6sh-winin,Algonquian; Central Algonquian
Porpoise,Wabanameg,Algonquian; Central Algonquian
Portage,Onigam,Algonquian; Central Algonquian
Pig Kokosh Portage (to),Kabado,Algonquian; Central Algonquian
Pillow Apikweshimon Post,Sakahagan,Algonquian; Central Algonquian
Pincherries Pawehiminan,niganadjimowin,Algonquian; Central Algonquian
Queen,Ogimakwe,Algonquian; Central Algonquian
Rabbit,Waboz,Algonquian; Central Algonquian
Quiet,Pekadiz; pekadj,Algonquian; Central Algonquian
Raccoon,Esiban,Algonquian; Central Algonquian
Quiver,Pindanwan,Algonquian; Central Algonquian
Rain; raining,Kimiwan,Algonquian; Central Algonquian
Rainbow,Tagwanibisan,Algonquian; Central Algonquian
Rainwater,Kimiwanabb,Algonquian; Central Algonquian
Raisins,Shaweminan,Algonquian; Central Algonquian
Rancid,Satesin,Algonquian; Central Algonquian
Rapids,Pawitig,Algonquian; Central Algonquian
Raspberries,Miskominag,Algonquian; Central Algonquian
Rattlesnake,Shishlgwe,Algonquian; Central Algonquian
Raven,Kagagi,Algonquian; Central Algonquian
Raw,Ashka,Algonquian; Central Algonquian
Reed,Wimbashk,Algonquian; Central Algonquian
Reptile,Pemodedj,Algonquian; Central Algonquian
Resist,Nanakwi,Algonquian; Central Algonquian
Rest,Anweb,Algonquian; Central Algonquian
Rhubarb,Shiwibag; wabado,Algonquian; Central Algonquian
Rib,Opigay,Algonquian; Central Algonquian
Rice,Wabi-manom in,Algonquian; Central Algonquian
Rich,Wanadiz,Algonquian; Central Algonquian
Risen; raised,Ombishka,Algonquian; Central Algonquian
River,S1b),Algonquian; Central Algonquian
Queen Ogimakwe Rabbit,Waboz,Algonquian; Central Algonquian
Right; correct,Tebwe,Algonquian; Central Algonquian
River (Ottawa),Kichi-sibi;,Algonquian; Central Algonquian
Sad,Kashkenindam,Algonquian; Central Algonquian
Road,Mikan,Algonquian; Central Algonquian
Sail,Pimashiwagan,Algonquian; Central Algonquian
Robin,Papich!,Algonquian; Central Algonquian
Sailboat,Pimashiwagani-,Algonquian; Central Algonquian
Roof,Apakwan,Algonquian; Central Algonquian
Salamander,Odawagameg,Algonquian; Central Algonquian
Room,Pakesaya,Algonquian; Central Algonquian
Salmon,Odawajameg,Algonquian; Central Algonquian
Rooster,Nabese,Algonquian; Central Algonquian
Root (spruce),Wadab,Algonquian; Central Algonquian
Salt,Shiwitagan,Algonquian; Central Algonquian
Rope,sesab,Algonquian; Central Algonquian
Sand,Nengaw,Algonquian; Central Algonquian
Round,wawiyeya,Algonquian; Central Algonquian
Sand-bar,Obadawanga,Algonquian; Central Algonquian
Rowboat,Nadahozowagan,Algonquian; Central Algonquian
Rush (reed),Manominashk,Algonquian; Central Algonquian
Sandfly,Pigoshens,Algonquian; Central Algonquian
Saturday,Manl-gljigad,Algonquian; Central Algonquian
Saw,Klshkibodjigan,Algonquian; Central Algonquian
Saw-horse,Tesakosidjigan,Algonquian; Central Algonquian
Scalp,Winikwey,Algonquian; Central Algonquian
Scalp (to),Manindibejwa,Algonquian; Central Algonquian
Schoolhouse,Kikinamadiwigamig,Algonquian; Central Algonquian
Sea; ocean,Kichigam,Algonquian; Central Algonquian
Seagull,Kayashk,Algonquian; Central Algonquian
Seamstress,Kashkigwasokwe,Algonquian; Central Algonquian
Seal,Askig,Algonquian; Central Algonquian
Root (spruce) Wadab Salt,Shiwitagan,Algonquian; Central Algonquian
Rope sesab Sand,Nengaw,Algonquian; Central Algonquian
Round wawiyeya Sand-bar,Obadawanga,Algonquian; Central Algonquian
Shame,Agadjiwin,Algonquian; Central Algonquian
Seat,Apabiwin,Algonquian; Central Algonquian
Shameful,Ayagadadj,Algonquian; Central Algonquian
Seated,Namadab,Algonquian; Central Algonquian
between men,Shelter (brush) Shingobigan,Algonquian; Central Algonquian
Shirt,Pibagiwayan,Algonquian; Central Algonquian
Shoelaces,Makizineyab1n,Algonquian; Central Algonquian
Secretary,Ojibihigekwe,Algonquian; Central Algonquian
Shoes (over),Pitokizinan,Algonquian; Central Algonquian
Secretly,Kadj; kimodj,Algonquian; Central Algonquian
See,Wab,Algonquian; Central Algonquian
Shore,Ch1gagam; nadagam;,Algonquian; Central Algonquian
Seeds,Minikan,Algonquian; Central Algonquian
September,Kagakone klzis,Algonquian; Central Algonquian
Short,Takoz; takwa,Algonquian; Central Algonquian
Self,Tibinawe,Algonquian; Central Algonquian
Shoulder,Odinimagan,Algonquian; Central Algonquian
Selfishness,Mangodasiwin,Algonquian; Central Algonquian
Shout,Nondagoz,Algonquian; Central Algonquian
Sell,Adawe,Algonquian; Central Algonquian
Shower,Pimib)san,Algonquian; Central Algonquian
Serene,"Wanak,",Algonquian; Central Algonquian
Serpent,Mishiginebig,Algonquian; Central Algonquian
Shut,Kibahigade,Algonquian; Central Algonquian
Set a net,Pagidawa; pagidawe,Algonquian; Central Algonquian
Shut (to),Kibahan,Algonquian; Central Algonquian
Shadow,Agawate; agawateshin,Algonquian; Central Algonquian
Shyness,Shagwenimowin,Algonquian; Central Algonquian
Shallow,Pagwa,Algonquian; Central Algonquian
Sick,Akoz,Algonquian; Central Algonquian
Shaman,Mide; wabano,Algonquian; Central Algonquian
�ickness,Akoziwin,Algonquian; Central Algonquian
between men Sheep,Manichenish,Algonquian; Central Algonquian
between women Shelter,Tibinoshimowin;,Algonquian; Central Algonquian
Silver,Shoniya; wabi-joniya,Algonquian; Central Algonquian
Smoke,Pate,Algonquian; Central Algonquian
"Sister, older",Misenz,Algonquian; Central Algonquian
Smoke (to),Sagaswa,Algonquian; Central Algonquian
"Sister, younger Shimenj",Smoky; smoke-filled Klkanode,Algonquian; Central Algonquian
"Sister, man & woman D'awema","Smoky fire, to cure Pazaman",Algonquian; Central Algonquian
Snake,Ginebig; 'kinebig,Algonquian; Central Algonquian
Sit,Namadab,Algonquian; Central Algonquian
Snow,Kon,Algonquian; Central Algonquian
Skeleton,Oskan; pagak,Algonquian; Central Algonquian
Snow-covered,Angodani; ningwadani,Algonquian; Central Algonquian
Skin,Ajagay; pakigin,Algonquian; Central Algonquian
Snowshores,Agimag,Algonquian; Central Algonquian
Sky (clearing) Mishakwad,Snow (to shovel) Webagone,Algonquian; Central Algonquian
Sled,Odabanens,Algonquian; Central Algonquian
Snowed under,Ningwagone;,Algonquian; Central Algonquian
Sleep,Niba,Algonquian; Central Algonquian
Sleep (talk),Anzingwam,Algonquian; Central Algonquian
Soft,Noka,Algonquian; Central Algonquian
Sleeping bag,P'inawehigan,Algonquian; Central Algonquian
Soft drink,Shlwabo,Algonquian; Central Algonquian
Slice (meat),Panijawe,Algonquian; Central Algonquian
Something,Kego,Algonquian; Central Algonquian
Slippery,Ojasha; shoshkwa;,Algonquian; Central Algonquian
Slow,Nayegadj; pabekadj,Algonquian; Central Algonquian
Son-in-law,Ningwan,Algonquian; Central Algonquian
Small,Agas; agashinonshin,Algonquian; Central Algonquian
Smell,Pldjimagwad; --magozi,Algonquian; Central Algonquian
Sit Namadab Snow,Kon,Algonquian; Central Algonquian
. shoshkokwa Son,Gwisis,Algonquian; Central Algonquian
Sooty,Onate,Algonquian; Central Algonquian
Stairs,Akwandawagan,Algonquian; Central Algonquian
Soup,Nabob; anasob,Algonquian; Central Algonquian
Stand,Nanlbaw; mayawl,Algonquian; Central Algonquian
Sour,Shiwan,Algonquian; Central Algonquian
Standing,Nanlbaw,Algonquian; Central Algonquian
South,Shawanong,Algonquian; Central Algonquian
Star,Anangosh,Algonquian; Central Algonquian
South-east;,Maming,Algonquian; Central Algonquian
Starling,Chachakano,Algonquian; Central Algonquian
Step,Oda.ml,Algonquian; Central Algonquian
Step-daughter,Ojimikwe,Algonquian; Central Algonquian
Sparrow,Chlgitiganeshlnj,Algonquian; Central Algonquian
Sept-father,Mishomenj,Algonquian; Central Algonquian
Step-mother,Noshenj,Algonquian; Central Algonquian
Spider,Eyebig,Algonquian; Central Algonquian
Step-son,Ojim,Algonquian; Central Algonquian
Spine,Odatagagwan,Algonquian; Central Algonquian
Stew,Kabasigan; kabadjigan,Algonquian; Central Algonquian
Spit (to),Sikwadjige,Algonquian; Central Algonquian
Still,Kiyabadj,Algonquian; Central Algonquian
Stingy,Sazagiz,Algonquian; Central Algonquian
Splash,Wasibigito;,Algonquian; Central Algonquian
Stink,Minagwad,Algonquian; Central Algonquian
Stocking,Ajigan,Algonquian; Central Algonquian
Spoon,�mikwan,Algonquian; Central Algonquian
Stomach,Oshkad,Algonquian; Central Algonquian
Stone,Asin,Algonquian; Central Algonquian
Stoop; porch,Tesagode,Algonquian; Central Algonquian
Spruce,Minahig,Algonquian; Central Algonquian
Store,Adawewigamig,Algonquian; Central Algonquian
Stove,Pawabikizigan,Algonquian; Central Algonquian
Spruce root,Wadab,Algonquian; Central Algonquian
Square,Ashaweya,Algonquian; Central Algonquian
Straight,Kwayak; kwayakwa,Algonquian; Central Algonquian
Squeak,Kizlbwe,Algonquian; Central Algonquian
Squirrel,Adjldamo,Algonquian; Central Algonquian
Strawberries,Odehimin,Algonquian; Central Algonquian
Sooty Onate Stairs,Akwandawagan,Algonquian; Central Algonquian
Soup Nabob; anasob Stand,Nanlbaw; mayawl,Algonquian; Central Algonquian
Sour Shiwan Standing,Nanlbaw,Algonquian; Central Algonquian
South Shawanong Star,Anangosh,Algonquian; Central Algonquian
Stride,Odaml,Algonquian; Central Algonquian
Strong.,Mashkawizl; songan,Algonquian; Central Algonquian
Stuck; glued,Agoki,Algonquian; Central Algonquian
Sturgeon,Name,Algonquian; Central Algonquian
Sucker; carp,Namebin,Algonquian; Central Algonquian
Sudden,Klshki; kayesikadj,Algonquian; Central Algonquian
Sugar-bush,Sizibakwadokan,Algonquian; Central Algonquian
Summer,Nlbin,Algonquian; Central Algonquian
Sun,Klzis,Algonquian; Central Algonquian
Sunflower,slndahagan,Algonquian; Central Algonquian
Sun is up,Ombakwe,Algonquian; Central Algonquian
Sunrise,Mokaham,Algonquian; Central Algonquian
Sunshine,Kijate; kijasige;,Algonquian; Central Algonquian
Sunday,Manadjitaganiwan,Algonquian; Central Algonquian
Swallow,Shajawanibisl,Algonquian; Central Algonquian
Swallow (to),Kondan,Algonquian; Central Algonquian
Swamp,Mashkig,Algonquian; Central Algonquian
Swan,Wabisi; manabisi,Algonquian; Central Algonquian
Sweater,Agwitoshkadjigan,Algonquian; Central Algonquian
Sweet,Wishkoban,Algonquian; Central Algonquian
Sweet-flag,Wikenj,Algonquian; Central Algonquian
Thundering,Onimiklwan; pagineg;,Algonquian; Central Algonquian
Thursday,lshpiniganiwan,Algonquian; Central Algonquian
Timid,Koshiz,Algonquian; Central Algonquian
Tin,Plwab ikonsabik,Algonquian; Central Algonquian
Toad,Pabig-omagakl,Algonquian; Central Algonquian
Tobacco,Nasema,Algonquian; Central Algonquian
Toboggan,Odabanak,Algonquian; Central Algonquian
Today,Ongajigak,Algonquian; Central Algonquian
Tomato,Oshinimin,Algonquian; Central Algonquian
Tomorrow,Wabang,Algonquian; Central Algonquian
Tongue,Odenan,Algonquian; Central Algonquian
Tonight,Onagoshig,Algonquian; Central Algonquian
Too hungry to,Shakwaye,Algonquian; Central Algonquian
Tools,Abadjitowinan,Algonquian; Central Algonquian
Tooth,Wlbid,Algonquian; Central Algonquian
Torch; faggot,Wasawagan,Algonquian; Central Algonquian
Touch,Tangin,Algonquian; Central Algonquian
Town,Odenaw,Algonquian; Central Algonquian
Town (to go),odeto,Algonquian; Central Algonquian
Trap,Tasonagan,Algonquian; Central Algonquian
Trap (snare),Nagwagan,Algonquian; Central Algonquian
Trapline;,Anokiwaki,Algonquian; Central Algonquian
Tree,Mitig,Algonquian; Central Algonquian
Trigger,Nasatenigan;,Algonquian; Central Algonquian
Trousers,Anagabeshagan,Algonquian; Central Algonquian
True; truly,Keget,Algonquian; Central Algonquian
Try,Kwagwedjito,Algonquian; Central Algonquian
Tuesday,Anjeni-gljigad,Algonquian; Central Algonquian
Tumpline,Apikan,Algonquian; Central Algonquian
Turkey,Misise,Algonquian; Central Algonquian
Turnip,Okadeyab,Algonquian; Central Algonquian
Turtle,Mikinak,Algonquian; Central Algonquian
Twinkle-root;,Adapini,Algonquian; Central Algonquian
Twins,Nljodjenjag,Algonquian; Central Algonquian
Ugly,Manadad,Algonquian; Central Algonquian
Valley,Pasadina; tawadina,Algonquian; Central Algonquian
Under,Anam; anam ahl; anaming,Algonquian; Central Algonquian
Vengeance,Ashtawawldiwin,Algonquian; Central Algonquian
Vertebra,Odatagag,Algonquian; Central Algonquian
Underground,Anamakamig,Algonquian; Central Algonquian
Very,Wanina; apidji,Algonquian; Central Algonquian
Vest,Kamizon (from French);,Algonquian; Central Algonquian
Until; upto,Ako,Algonquian; Central Algonquian
Village,Odenaw,Algonquian; Central Algonquian
Ugly Manadad Valley,Pasadina; tawadina,Algonquian; Central Algonquian
Until; upto Ako Village,Odenaw,Algonquian; Central Algonquian
Water (tepid),Abagamide,Algonquian; Central Algonquian
Wait,Piw,Algonquian; Central Algonquian
Wave (water),Tigow,Algonquian; Central Algonquian
Walk,Pimose,Algonquian; Central Algonquian
Wave (big),Mamangadi gwi;,Algonquian; Central Algonquian
Wall,Wakahigan; asamatig,Algonquian; Central Algonquian
(adv.),(wind-blown),Algonquian; Central Algonquian
Warm,Kijide,Algonquian; Central Algonquian
Weasel,Shingosi,Algonquian; Central Algonquian
Wash (dishes),Kizlnagane,Algonquian; Central Algonquian
Weather,Ejiwebak; ejigijigak,Algonquian; Central Algonquian
Water,Nibi,Algonquian; Central Algonquian
Water-bug,Omiskoz1si,Algonquian; Central Algonquian
Water (deep),Timi,Algonquian; Central Algonquian
Weather (bad),Nlskadjigijigad,Algonquian; Central Algonquian
Water (dirty),Wlnibig; winabo,Algonquian; Central Algonquian
Web (spider),Eyeb igw asa.b,Algonquian; Central Algonquian
Water falls,Kishkabikedjiwan;,Algonquian; Central Algonquian
Wednesday,Sozep-gljigad,Algonquian; Central Algonquian
Well,Ondahiban,Algonquian; Central Algonquian
Water flowing,Ajetabi,Algonquian; Central Algonquian
Wet,Nib1wan,Algonquian; Central Algonquian
Whale,Misameg,Algonquian; Central Algonquian
Water (go to),Nanzibi,Algonquian; Central Algonquian
Whale (white),Wabanameg,Algonquian; Central Algonquian
Water (high),Moshkahan,Algonquian; Central Algonquian
What,Awegonen,Algonquian; Central Algonquian
Water (hot),Kijagamide,Algonquian; Central Algonquian
Wheeze,Kizlbwewenandam,Algonquian; Central Algonquian
Water (low),lskate,Algonquian; Central Algonquian
Wheat,Miziminensag,Algonquian; Central Algonquian
Walk Pimose Wave (big),Mamangadi gwi;,Algonquian; Central Algonquian
When,Apteh,Algonquian; Central Algonquian
Wink,Chibingwen,Algonquian; Central Algonquian
When?,Anln apich,Algonquian; Central Algonquian
Winter,Pibon,Algonquian; Central Algonquian
Where?,Andi,Algonquian; Central Algonquian
Wise,Kagitawenindam;,Algonquian; Central Algonquian
Whetstone,Kashkiman,Algonquian; Central Algonquian
With,Mamawi,Algonquian; Central Algonquian
Whip (to),Pashanjew,Algonquian; Central Algonquian
Whippoorwill,Wahonesi; peshk,Algonquian; Central Algonquian
Wolf,Mahingan;,Algonquian; Central Algonquian
Wolverine,Kwingwayage,Algonquian; Central Algonquian
Whiskers,Misakodonagan'an,Algonquian; Central Algonquian
Woman,lkwe,Algonquian; Central Algonquian
Whistle,Kwishkwish,Algonquian; Central Algonquian
Whitefish,Adikameg,Algonquian; Central Algonquian
Wonder,Mamakadenindam,Algonquian; Central Algonquian
White-haired,Wabikwe,Algonquian; Central Algonquian
Wood,Mishi; misan,Algonquian; Central Algonquian
Whittle,Mokodas,Algonquian; Central Algonquian
Wood {dry),Mish1wisag,Algonquian; Central Algonquian
Whole,Miziwe,Algonquian; Central Algonquian
Wide,Mangadeya,Algonquian; Central Algonquian
Widow; widower Shiga,beaver,Algonquian; Central Algonquian
Wife,Wldigemagan; wish,Algonquian; Central Algonquian
Wood {green),Ashkatig,Algonquian; Central Algonquian
Wood floated,Obinakandawan,Algonquian; Central Algonquian
Willow,Azisigobimij,Algonquian; Central Algonquian
Woodpecker,Papase; pakwehamo;,Algonquian; Central Algonquian
Wind,Nodin,Algonquian; Central Algonquian
Work,Ondamita; anok),Algonquian; Central Algonquian
Worm,Manidjosh,Algonquian; Central Algonquian
Window,Onzabiwagan,Algonquian; Central Algonquian
When Apteh Wink,Chibingwen,Algonquian; Central Algonquian
When? Anln apich Winter,Pibon,Algonquian; Central Algonquian
Where? Andi Wise,Kagitawenindam;,Algonquian; Central Algonquian
Wring,Siniblginan,Algonquian; Central Algonquian
Yarn,Ajiganeyab,Algonquian; Central Algonquian
Write,Ojibihige,Algonquian; Central Algonquian
Yawn,Nanabahiwe,Algonquian; Central Algonquian
Year,Ningo pibon,Algonquian; Central Algonquian
Yellow birch,Wlnisik,Algonquian; Central Algonquian
Yesterday,China.go,Algonquian; Central Algonquian
Yet,Mashl (neg. with ka),Algonquian; Central Algonquian
Yolk (egg),Miskwawan,Algonquian; Central Algonquian
Young,Oshkinlg,Algonquian; Central Algonquian
Youth,Oshkinlgiwin,Algonquian; Central Algonquian
Zealous,Wawisisoz,Algonquian; Central Algonquian
